"Zone","Post.Code","Destination.zone","State"
"Sydney","1144","Inter State Capital","NSW"
"Sydney","1145","Inter State Capital","NSW"
"Sydney","1146","Inter State Capital","NSW"
"Sydney","1147","Inter State Capital","NSW"
"Sydney","1148","Inter State Capital","NSW"
"Sydney","1149","Inter State Capital","NSW"
"Sydney","1150","Inter State Capital","NSW"
"Sydney","1151","Inter State Capital","NSW"
"Sydney","1152","Inter State Capital","NSW"
"Sydney","1153","Inter State Capital","NSW"
"Sydney","1154","Inter State Capital","NSW"
"Sydney","1155","Inter State Capital","NSW"
"Sydney","1156","Inter State Capital","NSW"
"Sydney","1157","Inter State Capital","NSW"
"Sydney","1158","Inter State Capital","NSW"
"Sydney","1159","Inter State Capital","NSW"
"Sydney","1160","Inter State Capital","NSW"
"Sydney","1161","Inter State Capital","NSW"
"Sydney","1162","Inter State Capital","NSW"
"Sydney","1163","Inter State Capital","NSW"
"Sydney","1164","Inter State Capital","NSW"
"Sydney","1165","Inter State Capital","NSW"
"Sydney","1166","Inter State Capital","NSW"
"Sydney","1167","Inter State Capital","NSW"
"Sydney","1168","Inter State Capital","NSW"
"Sydney","1169","Inter State Capital","NSW"
"Sydney","1170","Inter State Capital","NSW"
"Sydney","1171","Inter State Capital","NSW"
"Sydney","1172","Inter State Capital","NSW"
"Sydney","1173","Inter State Capital","NSW"
"Sydney","1174","Inter State Capital","NSW"
"Sydney","1175","Inter State Capital","NSW"
"Sydney","1176","Inter State Capital","NSW"
"Sydney","1177","Inter State Capital","NSW"
"Sydney","1178","Inter State Capital","NSW"
"Sydney","1179","Inter State Capital","NSW"
"Sydney","1180","Inter State Capital","NSW"
"Sydney","1181","Inter State Capital","NSW"
"Sydney","1182","Inter State Capital","NSW"
"Sydney","1183","Inter State Capital","NSW"
"Sydney","1184","Inter State Capital","NSW"
"Sydney","1185","Inter State Capital","NSW"
"Sydney","1186","Inter State Capital","NSW"
"Sydney","1187","Inter State Capital","NSW"
"Sydney","1188","Inter State Capital","NSW"
"Sydney","1189","Inter State Capital","NSW"
"Sydney","1190","Inter State Capital","NSW"
"Sydney","1191","Inter State Capital","NSW"
"Sydney","1192","Inter State Capital","NSW"
"Sydney","1193","Inter State Capital","NSW"
"Sydney","1194","Inter State Capital","NSW"
"Sydney","1195","Inter State Capital","NSW"
"Sydney","1196","Inter State Capital","NSW"
"Sydney","1197","Inter State Capital","NSW"
"Sydney","1198","Inter State Capital","NSW"
"Sydney","1199","Inter State Capital","NSW"
"Sydney","1200","Inter State Capital","NSW"
"Sydney","1201","Inter State Capital","NSW"
"Sydney","1202","Inter State Capital","NSW"
"Sydney","1203","Inter State Capital","NSW"
"Sydney","1204","Inter State Capital","NSW"
"Sydney","1205","Inter State Capital","NSW"
"Sydney","1206","Inter State Capital","NSW"
"Sydney","1207","Inter State Capital","NSW"
"Sydney","1208","Inter State Capital","NSW"
"Sydney","1209","Inter State Capital","NSW"
"Sydney","1210","Inter State Capital","NSW"
"Sydney","1211","Inter State Capital","NSW"
"Sydney","1212","Inter State Capital","NSW"
"Sydney","1213","Inter State Capital","NSW"
"Sydney","1214","Inter State Capital","NSW"
"Sydney","1215","Inter State Capital","NSW"
